Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
The Wild Angels,1966-07-20,"A motorcycle gang arrives in a small town in search of a motorcycle that has been stolen by a rival gang; but, pursued by the police, one of its members is injured, an event that will cause an orgy of violence and destruction.",5.485,65,en,Drama;Action,87,The most terrifying film of your time!,0,0,American International Pictures,United States of America,English,tt0061189
Lt. Robin Crusoe U.S.N.,1966-07-29,"Lt. Robin Crusoe is a navy pilot who bails out of his plane after engine trouble. He reaches a deserted island paradise where he builds a house and begins to adjust to life. He is in for trouble however when a local girl is banished to the island by her father, who then comes after Crusoe.",5.6,23,en,Adventure;Comedy;Family,113,"It's Shape Up or Ship Out for ""Admiral Honey's"" all girl navy!",0,0,Walt Disney Productions,United States of America,English,tt0060640
The Plainsman,1966-08-01,Calamity Jane tries to help Buffalo Bill Cody and Wild Bill Hickock stop an Indian war.,4.8,4,en,Western,92,When the land needed law... When the West needed taming... When adventure needed a giant... They sent for the Plainsman!,0,0,Universal Pictures,United States of America,English,tt0060842
The Man Called Flintstone,1966-08-03,"In this feature-length film based on the ""Flintstones"" TV show, secret agent Rock Slag is injured during a chase in Bedrock. Slag's chief decides to replace the injured Slag with Fred Flintstone, who just happens to look like him. The trip takes Fred to Paris and Rome, which is good for Wilma, Barney, and Betty, but can Fred foil the mysterious Green Goose's evil plan for a destructive missile without letting his wife and friends in on his secret?",6.2,56,en,Animation;Family;Adventure;Music;Romance;Mystery;Comedy,89,Their first full-length tune-full adventure!,0,0,Hanna-Barbera Productions;Columbia Pictures,United States of America,English,tt0060661
This Property Is Condemned,1966-08-03,"Owen Legate, a railroad official,  comes to Dodson, Mississippi to shut down the local railway - the town's main income. But Owen unexpectedly finds love with Dodson's flirt and main attraction, Alva Starr.",6.276,87,en,Drama;Romance,110,It's all prime property!,4620000,2600000,Seven Arts Productions;Paramount Pictures,United States of America,English,tt0061089
Georgy Girl,1966-08-04,A homely but vivacious young woman dodges the amorous attentions of her father's middle-aged employer while attempting to please her glamorously stuck-up roommate Meredith.,6.3,47,en,Comedy;Drama;Romance,99,Georgy Girl is BIG!,0,0,Everglades Productions;Columbia Pictures,United Kingdom,Italiano;English,tt0060453
Fantastic Voyage,1966-08-24,"In order to save an assassinated scientist, a submarine and its crew are shrunk to microscopic size and injected into his bloodstream.",6.674,429,en,Science Fiction;Adventure,100,A Fantastic and Spectacular Voyage... Through the Human Body... Into the Brain.,5115000,12000000,20th Century Fox,United States of America,English,tt0060397
Chappaqua,1966-08-30,"Semi-autobiographical story of Conrad Rooks, who travels to France to undergo a drug-withdrawal cure. Flashbacks to the beginings of psychedelia in San Fran. Though initially confusing, as Rooks blends drug-illusion with reality, and cuts color with black-and-white and monochrome tinted shots, ""Chappaqua"" is conventionally constructed with a beginning, middle, and end.",6.9,10,en,Drama,82,,0,0,Minotaur Productions,France;United States of America,English,tt0059025
An American Dream,1966-08-31,"Stephen Rojack is a decorated war vet who has now found success as an outspoken television personality. During a vicious argument with his wife, Deborah, Stephen snaps and pushes her from his high-rise apartment to her death. He manages to convince the authorities that she killed herself, then reignites an old affair with singer Cherry McMahon -- which doesn't sit well with her jealous mobster boyfriend, Nicky.",4.6,5,en,Drama;Thriller,103,Young Mrs. Rojack has some weird ideas. She's the stuff that dreams are made of. Or is it nightmares...?,0,0,Warner Bros. Pictures;William Conrad Productions,United States of America,English,tt0060099
"What Did You Do in the War, Daddy?",1966-08-31,"A by-the-book Captain is ordered to capture a strategic village in Italy. The Italian soldiers are willing to surrender, if they can have a festival first. The lieutenant convinces the Captain this is the only way. Because of aerial reconnaissance, they must look like they are fighting. To sort this out an intelligence officer is sent in. Meanwhile the festival gets complicated with the Mayors daughter.",6,40,en,Comedy;War,116,The screen dares reveal the best kept secrets of world war II !,0,0,United Artists;The Mirisch Company,United States of America,Deutsch;Italiano;English,tt0061176
Chelsea Girls,1966-09-01,"Lacking a formal narrative, Warhol's mammoth film follows various residents of the Chelsea Hotel in 1966 New York City. The film was intended to be screened via dual projector set-up.",5.708,36,en,Drama,210,,3000,0,,United States of America,English,tt0061465
Waco,1966-09-01,"Preacher Sam Stone and his new beautiful wife Jill stand by the grave of Sheriff Billy Kelly, who died trying to bring law-and-order to Emporia, Wyoming. Among the mourners are businessman George Gates, mayor Ned West and his daughter Patricia. The mayor rejects Gates' suggestion that he release gunfighter Waco from jail to clean up the town. When Patricia is attacked by a cowboy after leaving her boyfriend Scotty Moore, the mayor finally decides it is time accept the governor;s offer of amnesty for Waco. Jill Stone's first reaction, when learning that Waco has been released, is to leave town before Waco finds out that she, his former fiancée, has married the town preacher while Waco was in jail. Town boss Joe Gore is not overjoyed, either, but Ike and Pete Jenner eagerly await the chance to shoot Waco for the death of their brother. Written by Les Adams",6.417,6,en,Action;Romance;Western,85,They let him out of jail - to kill for them!,0,0,Paramount Pictures,United States of America,English,tt0061169
After the Fox,1966-09-08,A criminal mastermind sets up a phony film production as part of a plan to smuggle stolen gold.,5.985,68,en,Crime;Comedy,108,"Watch your girl, guard your gold, hold your jewels ...the fox is loose!",0,0,Nancy Enterprises Inc. (I);Cinecitta Italiana Stabilimenti Cinematografici;Compagnia Cinematografica Montoro (CCM),Italy;United Kingdom,English,tt0060200
Kiss the Girls and Make Them Die,1966-09-08,"In this spoof of spy films, CIA agent, Kelly, is in Rio De Janeiro spying on a wealthy industrialist, David Ardonian, who secretly plans to turn the world sterile and repopulate it with his harem. UK spy, Susan Fleming, helps Kelly.",6.75,14,it,Action;Comedy,106,Rio... where the action is! Where all systems are go-go-go...,0,0,Columbia Pictures;DDL Cinematografica,Italy,普通话;English;Português,tt0060592
The Battle of Algiers,1966-09-08,Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,7.9,732,it,Drama;War;History,121,The Revolt that Stirred the World!,800000,964028,Igor Film;Casbah Film,Italy;Algeria,العربية;Français,tt0058946
The Appaloosa,1966-09-15,A man tries to recover a horse stolen from him by a Mexican bandit.,6.2,62,en,Western,99,"Southwest to Sonora rode the lustful, the lawless... to live on the edge of violence!",0,0,Universal Pictures,United States of America,English;Español,tt0060120
The Bible: In the Beginning...,1966-09-28,"Covering only the first 22 chapters of the Book of Genesis, vignettes include: Adam and Eve frolicking in the Garden of Eden until their indulgence in the forbidden fruit sees them driven out; Cain murdering his brother Abel; Noah building an ark to preserve the animals of the world from the coming flood; and Abraham making a covenant with God.",7.262,244,en,Adventure;History;Drama,175,The unforgettable adventure of man from the creation!,16500000,34900000,Thalia AG;DDL Cinematografica;Seven Arts Productions;20th Century Fox,Italy;United States of America,English,tt0060164
Seconds,1966-10-05,An unhappy middle-aged banker agrees to a procedure that will fake his death and give him a completely new look and identity – one that comes with its own price.,7.28,343,en,Thriller;Science Fiction;Drama;Horror,107,Who are SECONDS? The answer is almost too terrifying for words!,2500000,1750000,Gibraltar Productions;Joel Productions;John Frankenheimer Productions Inc.;Paramount Pictures,United States of America,English,tt0060955
Alvarez Kelly,1966-10-06,"In 1864, during the American Civil War, Mexican cattleman Alvarez Kelly supplies the Union with cattle until unexpected circumstances force him to change his customers.",6.23,50,en,Action;War;Western,106,A herd of cattle against a herd of cannon!,0,0,Sol C. Siegel Productions;Columbia Pictures,United States of America,English;Español,tt0060095
Spinout,1966-10-06,Band singer/race driver Mike McCoy must choose between marrying a beautiful rich girl and driving her father's car in a prestigious race.,5.514,36,en,Comedy;Music;Romance,93,It's ELVIS with his foot on the gas and no brakes on the fun!!!,0,0,Euterpe Productions;Metro-Goldwyn-Mayer,United States of America,English,tt0061015
Hawaii,1966-10-10,"Abner Hale, a rigid and humorless New England missionary, marries the beautiful Jerusha Bromley and takes her to the exotic island kingdom of Hawaii, intent on converting the natives. But the clash between the two cultures is too great and instead of understanding there comes tragedy.",6.4,42,en,Drama;Adventure;Romance;History,189,James Michener's novel reaches the screen.,15000000,34562222,The Mirisch Company;United Artists;Pan Arts,United States of America,English,tt0060491
